Watershed,Hname,Hectares,Acres,Date,Type,Year
R20A,1A,26.332,65.068,1992-04-13,PP,1992
N4A,N4A,99.196,245.118,1992-04-11,PP,1992
C3A,C4A1,23.656,58.455,1992-04-09,PP,1992
C3A,C4A2,25.072,61.954,1992-04-09,PP,1992
C3B,C4A1,14.212,35.119,1992-04-09,PP,1992
C3B,C4A2,54.14,133.783,1992-04-09,PP,1992
C3C,C1B,101.552,250.94,1992-04-09,PP,1992
C1A,C4B,93.78,231.73,1992-04-09,PP,1992
K2A,K2A,66.1,163.336,1992-04-09,PP,1992
FA,FA,11.089,27.401,1993-11-29,PP,1993
FB,FB,11.181,27.629,1993-11-29,PP,1993
K1B,K1B,105.138,259.801,1993-05-13,PP,1993
K2A,K2A,3.244,8.016,1993-05-13,WU,1993
C3SC,S3C,74.882,185.037,1993-05-13,WU,1993
SpA,4C,8.818,21.791,1993-05-04,PP,1993
HQD,HQC,28.25,69.807,1993-05-04,PP,1993
WA,3U3BB,11.62,28.72,1993-04-30,PP,1993
R20B,1C,12.315,30.431,1993-04-30,PP,1993
C1A,C4B,13.11,32.41,1993-04-30,WU,1993
C3C,C1B,103.106,254.78,1993-04-30,PP,1993
C3B,C4A,53.239,131.556,1993-04-30,PP,1993
C3A,C4A,24.222,59.855,1993-04-30,PP,1993
N2A,N2A,101.215,250.107,1993-04-29,PP,1993
"Belowground Plots","Belowground Plots",1.45,3.58,1993-04-29,PP,1993
HQC,HQC,17.483,43.201,1993-04-29,PP,1993
2C,2C,22.95,56.72,1993-04-26,PP,1993
4F,4F,16.37,40.44,1993-04-26,PP,1993
R20A,1A,26.332,65.068,1993-04-24,PP,1993
2A,2A,27.96,69.1,1993-04-24,PP,1993
1D,1D,41.55,102.67,1993-04-24,PP,1993
1B,1B/WA,35.89,88.69,1993-04-24,PP,1993
N1A,N1A,93.855,231.92,1993-04-21,PP,1993
N4B,N4B,56.775,140.293,1993-04-21,PP,1993
K4A,K4A,53.161,131.363,1993-04-10,PP,1993
N1B,N1B,120.683,298.214,1993-04-10,PP,1993
FB,FB,11.181,27.629,1994-11-23,PP,1994
FA,FA,11.089,27.401,1994-11-23,PP,1994
SuB,SuB,15.63,38.62,1994-09-07,PP,1994
SuA,10C/3U3BC,22.86,56.49,1994-09-02,PP,1994
2B,2B,6.08,15.02,1994-05-05,PP,1994
SpA,4C,8.818,21.79,1994-05-05,PP,1994
SpB,4D/WB,35.74,88.31,1994-05-05,PP,1994
2D,2D,48.41,119.62,1994-05-04,PP,1994
1D,1D,41.55,102.67,1994-05-04,PP,1994
R20B,1C,12.315,30.431,1994-05-04,PP,1994
R1B,4H,3.377,8.345,1994-05-04,PP,1994
"Belowground Plots","Belowground Plots",1.45,3.58,1994-05-03,PP,1994
N1A,N1A,93.855,231.92,1994-05-03,PP,1994
K1A,K1A,113.89,281.428,1994-04-24,PP,1994
C3SC,S3C,127.02,313.873,1994-04-22,"PU ",1994
C3SB,S3B,226.265,559.112,1994-04-22,PP,1994
C3SA,S3A,102.076,252.235,1994-04-22,PP,1994
C3B,C1B,63.69,157.381,1994-04-22,PP,1994
C3C,C1B,21.55,53.251,1994-04-22,PP,1994
C3C,C1C,81.291,200.874,1994-04-22,PP,1994
AL,AL,14.07,34.77,1994-04-22,"PU ",1994
C1A,"Pasture 8",5.1,12.6,1994-04-22,PP,1994
C1SB,"Texas Hog Pasture",69.81,172.51,1994-04-22,PP,1994
N1B,N1B,120.683,298.214,1994-04-21,PP,1994
HQA,HQA,12.28,30.344,1994-04-20,PP,1994
HQC,HQC,17.483,43.201,1994-04-20,PP,1994
HQB,HQB,14.919,36.866,1994-04-20,PP,1994
HQD,HQC,28.25,69.807,1994-04-20,PP,1994
"White Pasture","White Pasture",166.82,412.22,1994-04-17,"WP ",1994
"Nature Trail","Nature Trail",101.87,251.726,1994-04-16,PP,1994
N2B,N2B,118.781,293.514,1994-04-13,"WP ",1994
N2A,N2A,101.215,250.107,1994-04-13,WU,1994
4B,4B,54.5,134.67,1994-03-31,WU,1994
HQD,HQC,28.25,69.807,1994-03-31,WU,1994
4A,4A,18.84,46.56,1994-03-31,WU,1994
1B,1B/WA,35.89,88.69,1994-03-31,"WP ",1994
2A,2A,27.96,69.1,1994-03-31,WU,1994
R1A,20A/3B3UA,48.66,120.241,1994-03-31,WU,1994
N4A,N4A,99.196,245.118,1994-03-31,WU,1994
N4D,N4D,135.45,334.704,1994-03-31,WU,1994
N4C,N4C,77.842,192.351,1994-03-31,"WP ",1994
R20A,1A,26.332,65.068,1994-03-31,"WP ",1994
K2A,K2A,66.1,163.336,1994-03-30,PP,1994
K1B,K1B,105.138,259.801,1994-03-30,PP,1994
WA,WA,11.62,28.72,1994-02-15,PP,1994
WB,WB,12.33,30.46,1994-02-15,PP,1994
FA,FA,11.089,27.401,1995-11-21,PP,1995
FB,FB,11.181,27.629,1995-11-21,PP,1995
C1SB,"Texas Hog Pasture",69.81,172.51,1995-04-28,PP,1995
"Nature Trail","Nature Trail",101.87,251.726,1995-04-27,PP,1995
"Belowground Plots","Belowground Plots",1.45,3.58,1995-04-27,PP,1995
SpA,4C,8.818,21.79,1995-04-25,PP,1995
N1A,N1A,93.855,231.92,1995-04-24,PP,1995
K1A,K1A,113.89,281.428,1995-04-24,PP,1995
HQB,HQB,14.919,36.866,1995-04-24,PP,1995
HQA,HQA,12.28,30.344,1995-04-24,PP,1995
K1B,K1B,105.138,259.801,1995-04-21,PP,1995
1D,1D,41.55,102.67,1995-04-19,PP,1995
C1A,"Pasture 8",5.1,12.6,1995-04-19,PP,1995
C3C,C1B,21.55,53.251,1995-04-19,PP,1995
C3C,C1C,81.291,200.874,1995-04-19,PP,1995
C3B,C1B,63.69,157.381,1995-04-19,PP,1995
SpB,4D/WB,35.74,88.31,1995-04-13,PP,1995
N1B,N1B,120.683,298.214,1995-04-13,PP,1995
2C,2C,22.95,56.72,1995-04-08,PP,1995
R20A,1A,26.332,65.068,1995-04-06,PP,1995
R20B,1C,12.315,30.431,1995-04-06,PP,1995
1B,1B/WA,35.89,88.69,1995-04-06,PP,1995
HQC,HQC,17.483,43.201,1995-04-03,PP,1995
WB,WB,12.33,30.46,1995-02-21,PP,1995
WA,WA,11.62,28.72,1995-02-21,PP,1995
FB,FB,11.181,27.629,1996-11-07,PP,1996
FA,FA,11.089,27.401,1996-11-07,PP,1996
2B,10B,8.21,20.29,1996-05-13,PP,1996
2B,2B,6.08,15.02,1996-05-13,PP,1996
SpB,4D/WB,35.74,88.31,1996-05-13,PP,1996
"Belowground Plots","Belowground Plots",1.45,3.58,1996-05-11,PP,1996
N1A,N1A,33.83,83.596,1996-05-02,PP,1996
N2B,N2B,118.781,293.514,1996-04-30,PP,1996
N1A,N1A,60.03,148.322,1996-04-30,PP,1996
2A,2A,27.96,69.1,1996-04-26,PP,1996
4F,4F,1,2.47,1996-04-23,PU,1996
1B,1B/WA,35.89,88.69,1996-04-23,PP,1996
SuA,10C/3U3BC,22.86,56.49,1996-04-23,"PU ",1996
SuB,SuB,15.63,38.62,1996-04-23,"PU ",1996
HQD,HQC,28.25,69.807,1996-04-20,PP,1996
N2A,N2A,101.215,250.107,1996-04-20,PP,1996
R20A,1A,26.332,65.068,1996-04-16,PP,1996
C1A,"Pasture 8",5.1,12.6,1996-04-09,PP,1996
SpA,4C,8.818,21.79,1996-04-09,PP,1996
K1A,K1A,113.89,281.428,1996-04-05,PP,1996
K1B,K4B,39.12,96.66,1996-03-26,"PU ",1996
N20B,N20B,84.364,208.467,1996-03-26,"PU ",1996
C3B,C1B,63.69,157.381,1996-02-25,"WP ",1996
C3B,C4A,2.902,7.17,1996-02-25,"WP ",1996
C3C,C1B,21.815,53.906,1996-02-25,"WP ",1996
C3C,C1C,81,200.155,1996-02-25,"WP ",1996
C3SA,S3A,102.076,252.235,1996-02-25,"WP ",1996
C3A,C4A,48.728,120.41,1996-02-25,"WP ",1996
C3SB,S3B,226.265,559.112,1996-02-25,"WP ",1996
C3SC,S3C,127.02,313.873,1996-02-25,"WP ",1996
AL,AL,22,54.36,1996-02-25,WU,1996
C1A,C4D,89,219,1996-02-25,WP,1996
2D,2D,48.41,119.62,1996-02-25,"WP ",1996
4F,4F,15.37,37.98,1996-02-25,WU,1996
1D,1D,41.55,102.67,1996-02-25,WP,1996
R20B,1C,12.315,30.431,1996-02-25,"WP ",1996
N1B,N1B,120.683,298.214,1996-02-25,PP,1996
K1B,K1B,105.138,259.801,1996-02-25,"WP ",1996
K1B,K4B,37,91.429,1996-02-25,"WP ",1996
K2A,K2A,66.1,163.336,1996-02-25,"WP ",1996
SuA,10C/3U3BC,5,12.36,1996-02-25,"WP ",1996
SuB,SuB,7,17.3,1996-02-25,"WP ",1996
"White Pasture","White Pasture",166.82,412.22,1996-02-25,"WP ",1996
N20B,N20B,17,42.008,1996-02-25,WU,1996
WA,WA,11.62,28.72,1996-02-09,PP,1996
WB,WB,12.33,30.46,1996-02-09,PP,1996
FA,FA,11.089,27.401,1997-11-21,PP,1997
FB,FB,11.181,27.629,1997-11-21,PP,1997
SuB,SuB,15.63,38.62,1997-07-31,PP,1997
SuA,10C/3U3BC,22.86,56.49,1997-07-31,PP,1997
R20A,1A,26.332,65.068,1997-04-28,PP,1997
HQC,HQC,17.483,43.201,1997-04-28,PP,1997
K1B,K1B,105.138,259.801,1997-04-25,PP,1997
C1SB,"Texas Hog Pasture",69.81,172.51,1997-04-19,PP,1997
SpA,4C,8.818,21.79,1997-04-17,PP,1997
1D,1D,41.55,102.67,1997-04-17,PP,1997
1B,1B/WA,35.89,88.69,1997-04-17,PP,1997
"Belowground Plots","Belowground Plots",1.45,3.58,1997-04-16,PP,1997
SpB,4D/WB,35.74,88.31,1997-04-15,PP,1997
SpA,10A,19.54,48.27,1997-04-15,PU,1997
C3SC,S3C,127.02,313.873,1997-04-09,PP,1997
C3SB,S3B,226.265,559.112,1997-04-09,PP,1997
K4A,K4A,53.161,131.363,1997-04-07,PP,1997
N1A,N1A,93.855,231.92,1997-04-07,PP,1997
N1B,N1B,120.683,298.214,1997-04-07,PP,1997
"Nature Trail","Nature Trail",101.87,251.726,1997-04-03,PP,1997
C1A,"Pasture 8",5.1,12.6,1997-04-03,PP,1997
K1A,K1A,113.89,281.428,1997-04-03,PP,1997
C3C,C1B,21.55,53.251,1997-04-03,PP,1997
C3C,C1C,81.291,200.874,1997-04-03,PP,1997
C3B,C1B,63.69,157.381,1997-04-03,PP,1997
R20B,1C,12.315,30.431,1997-03-31,PP,1997
2C,2C,22.95,56.72,1997-03-31,PP,1997
SpA,10A,5,12.355,1997-03-24,WU,1997
WB,WB,12.33,30.46,1997-02-25,PP,1997
WA,WA,11.62,28.72,1997-02-25,PP,1997
HQB,HQB,14.919,36.866,1997-01-30,PP,1997
HQA,HQA,12.28,30.344,1997-01-30,PP,1997
FB,FB,11.181,27.629,1998-12-01,PP,1998
FA,FA,11.089,27.401,1998-12-01,PP,1998
4B,4B,54.5,134.67,1998-05-04,PP,1998
1B,1B/WA,35.89,88.69,1998-05-04,PP,1998
SpA,4C,8.818,21.79,1998-05-04,PP,1998
R20A,1A,26.332,65.068,1998-05-04,PP,1998
2B,2B,6.08,15.02,1998-04-23,PP,1998
R20B,1C,12.315,30.431,1998-04-23,PP,1998
SpB,4D/WB,35.74,88.31,1998-04-23,PP,1998
2D,2D,48.41,119.62,1998-04-22,PP,1998
1D,1D,41.55,102.67,1998-04-22,PP,1998
R1B,4H,3.377,8.345,1998-04-22,PP,1998
N1A,N1A,93.855,231.92,1998-04-22,PP,1998
K1B,K1B,105.138,259.801,1998-04-22,PP,1998
C1SB,"Texas Hog Pasture",69.81,172.51,1998-04-18,PP,1998
C3SB,S3B,226.265,559.112,1998-04-17,PP,1998
C3SC,S3C,127.02,313.873,1998-04-17,PP,1998
K2A,K2A,66.1,163.336,1998-04-17,PP,1998
K1A,K1A,113.89,281.428,1998-04-15,PP,1998
"Nature Trail","Nature Trail",101.87,251.726,1998-04-15,PP,1998
"Belowground Plots","Belowground Plots",1.45,3.58,1998-04-14,PP,1998
HQA,HQA,12.28,30.344,1998-04-10,PP,1998
HQC,HQC,17.483,43.201,1998-04-10,PP,1998
HQD,HQC,28.25,69.807,1998-04-10,PP,1998
N4C,N4C,77.842,192.351,1998-04-10,PP,1998
N2A,N2A,101.215,250.107,1998-04-10,PP,1998
C3B,C1B,63.69,157.381,1998-04-06,PP,1998
C3C,C1B,21.55,53.251,1998-04-06,PP,1998
C3C,C1C,81.291,200.874,1998-04-06,PP,1998
C1A,"Pasture 8",5.1,12.6,1998-04-06,PP,1998
N4D,N4D,135.45,334.704,1998-04-02,PP,1998
N1B,N1B,120.683,298.214,1998-04-02,PP,1998
WA,WA,11.62,28.72,1998-02-20,PP,1998
WB,WB,12.33,30.46,1998-02-20,PP,1998
FA,FA,11.09,27.404,1999-12-10,PP,1999
FB,FB,11.18,27.626,1999-12-10,PP,1999
SuB,SuB,15.63,38.62,1999-07-26,PP,1999
SuA,10C/3U3BC,22.86,56.49,1999-07-26,PP,1999
N4B,N4B,56.775,140.293,1999-05-13,PP,1999
1D,1D,41.55,102.67,1999-05-13,PP,1999
HQC,HQC,17.483,43.201,1999-05-07,PP,1999
SpB,4D/WB,35.74,88.31,1999-04-20,PP,1999
SpA,4C,8.818,21.79,1999-04-20,PP,1999
C1A,"Pasture 8",5.1,12.6,1999-04-20,PP,1999
C3C,C1B,21.55,53.251,1999-04-20,PP,1999
C3C,C1C,81.291,200.874,1999-04-20,PP,1999
C3B,C1B,63.69,157.381,1999-04-20,PP,1999
R20A,1A,26.332,65.068,1999-04-12,PP,1999
N2B,N2B,118.781,293.514,1999-04-12,PP,1999
R20B,1C,12.315,30.431,1999-04-12,PP,1999
2A,2A,27.96,69.1,1999-04-12,PP,1999
1B,1B/WA,35.89,88.69,1999-04-12,PP,1999
2C,2C,22.95,56.72,1999-04-12,PP,1999
4A,4A,18.84,46.56,1999-04-12,PP,1999
"Belowground Plots","Belowground Plots",1.45,3.58,1999-04-07,PP,1999
N1A,N1A,93.855,231.92,1999-04-06,PP,1999
N1B,N1B,120.683,298.214,1999-04-06,PP,1999
K1B,K1B,105.138,259.801,1999-03-29,PP,1999
"White Pasture","White Pasture",166.82,412.22,1999-03-18,PP,1999
WB,WB,12.33,30.46,1999-02-09,PP,1999
WA,WA,11.62,28.72,1999-02-09,PP,1999
FB,FB,11.181,27.629,2000-11-21,PP,2000
FA,FA,11.089,27.401,2000-11-21,PP,2000
K1B,K1B,105.138,259.801,2000-04-28,PP,2000
K1B,K4B,76.118,188.092,2000-04-28,PP,2000
K2A,K2A,66.1,163.336,2000-04-28,PP,2000
1D,1D,41.55,102.67,2000-04-26,PP,2000
R20B,1C,12.315,30.431,2000-04-26,PP,2000
SpB,4D/WB,35.74,88.31,2000-04-26,PP,2000
4F,4F,16.37,40.44,2000-04-24,PP,2000
N1B,N1B,120.683,298.214,2000-04-21,PP,2000
"Belowground Plots","Belowground Plots",1.45,3.58,2000-04-20,PP,2000
4B,4B,39.96,98.74,2000-04-17,"PU ",2000
4B,4B,14.54,35.93,2000-04-12,WU,2000
1B,1B/WA,35.89,88.69,2000-04-12,PP,2000
2A,2A,27.96,69.1,2000-04-12,PP,2000
2B,2B,6.08,15.02,2000-04-12,PP,2000
SpA,4C,8.818,21.79,2000-04-12,PP,2000
R20A,1A,26.332,65.068,2000-04-12,PP,2000
N1A,N1A,93.855,231.92,2000-04-11,PP,2000
N4A,N4A,99.196,245.118,2000-04-10,PP,2000
HQC,HQC,17.483,43.201,2000-04-06,PP,2000
HQA,HQA,12.28,30.344,2000-04-04,PP,2000
HQB,HQB,14.92,36.868,2000-04-04,WU,2000
N2A,N2A,101.215,250.107,2000-04-04,PP,2000
HQD,HQC,28.25,69.807,2000-03-31,PP,2000
C3B,C4A,2.902,7.17,2000-03-30,PP,2000
C3SA,SA,102.076,252.235,2000-03-30,PP,2000
C3SC,SC,127.02,313.873,2000-03-30,PP,2000
C3SB,SB,226.265,559.112,2000-03-30,PP,2000
C3B,C1B,63.817,157.695,2000-03-29,PP,2000
C3C,C1B,21.55,53.251,2000-03-29,PP,2000
C3C,C1C,81.291,200.874,2000-03-29,PP,2000
C3A,C4A,48.728,120.41,2000-03-29,PP,2000
C1A,C4D,93.78,231.73,2000-03-29,PP,2000
K1A,K1A,113.89,281.428,2000-03-21,PP,2000
"Nature Trail","Nature Trail",93.37,230.722,2000-03-21,PP,2000
WA,WA,11.62,28.72,2000-02-08,PP,2000
WB,WB,12.33,30.46,2000-02-08,PP,2000
FA,FA,11.089,27.401,2001-11-21,PP,2001
FB,FB,11.181,27.629,2001-11-21,PP,2001
SuB,SuB,15.63,38.62,2001-08-14,PP,2001
SuA,10C/3U3BC,22.86,56.49,2001-08-14,PP,2001
R1A,20A/3B3UA,48.66,120.241,2001-04-26,PP,2001
"Belowground Plots","Belowground Plots",1.45,3.58,2001-04-26,PP,2001
SpB,4D/WB,35.74,88.31,2001-04-24,PP,2001
SpA,10A,24.536,60.63,2001-04-24,PP,2001
SpA,4C,8.818,21.79,2001-04-24,PP,2001
R1B,20D,36.42,89.996,2001-04-24,PP,2001
2C,2C,22.95,56.72,2001-04-24,PP,2001
HQC,HQC,17.483,43.201,2001-04-17,PP,2001
HQA,HQA,12.28,30.344,2001-04-16,PP,2001
N1B,N1B,120.683,298.214,2001-04-13,PP,2001
N4D,N4D,135.45,334.704,2001-04-13,PP,2001
N2B,N2B,118.781,293.514,2001-04-13,PP,2001
HQB,HQB,14.92,36.868,2001-04-13,"PU ",2001
K1B,K1B,105.138,259.801,2001-04-12,PP,2001
1D,1D,41.55,102.67,2001-04-12,PP,2001
2D,2D,48.41,119.62,2001-04-12,PP,2001
N1A,N1A,60.03,148.322,2001-04-09,PP,2001
K1A,K1A,113.89,281.428,2001-04-09,PP,2001
K4A,K4A,53.161,131.363,2001-04-04,PP,2001
N1A,N1A,33.83,83.596,2001-04-04,PP,2001
N4B,N4B,56.775,140.293,2001-04-04,PP,2001
1B,1B/WA,35.89,88.69,2001-04-04,PP,2001
C1A,"Pasture 8",5.1,12.6,2001-04-02,PP,2001
C3C,C1B,21.55,53.251,2001-04-02,PP,2001
C3C,C1C,81.291,200.874,2001-04-02,PP,2001
C3B,C1B,63.69,157.381,2001-04-02,PP,2001
WB,WB,12.33,30.46,2001-03-06,PP,2001
WA,WA,11.62,28.72,2001-03-06,PP,2001
FB,FB,11.18,27.626,2002-12-10,PP,2002
FA,FA,11.09,27.404,2002-12-10,PP,2002
1B,1B/WA,35.89,88.69,2002-05-03,PP,2002
2B,2B,6.08,15.02,2002-05-03,PP,2002
2A,2A,27.96,69.1,2002-05-03,PP,2002
"Nature Trail","Nature Trail",93.37,230.722,2002-05-02,PP,2002
SpA,4C,8.818,21.79,2002-05-02,PP,2002
HQC,HQC,17.483,43.201,2002-04-30,PP,2002
HQD,HQC,28.25,69.807,2002-04-30,PP,2002
R1B,4H,3.377,8.345,2002-04-29,PP,2002
R1B,20D,36.42,89.996,2002-04-29,PP,2002
SpB,4D/WB,35.74,88.31,2002-04-29,PP,2002
"Belowground Plots","Belowground Plots",1.45,3.58,2002-04-25,PP,2002
N1A,N1A,60.03,148.322,2002-04-25,PP,2002
1D,1D,41.55,102.67,2002-04-09,PP,2002
HQB,HQB,14.919,36.866,2002-04-05,PP,2002
4A,4A,18.84,46.56,2002-04-03,WU,2002
R1A,20A/3B3UA,48.66,120.241,2002-04-03,PP,2002
N4A,N4A,99.196,245.118,2002-04-03,WU,2002
N4C,N4C,77.842,192.351,2002-04-03,PP,2002
N2A,N2A,101.215,250.107,2002-04-03,PP,2002
C3B,C1B,63.69,157.381,2002-03-30,PP,2002
C3C,C1B,21.55,53.251,2002-03-30,PP,2002
C3C,C1C,81.291,200.874,2002-03-30,PP,2002
C1A,"Pasture 8",5.1,12.6,2002-03-30,PP,2002
4F,4F,16.37,40.44,2002-03-28,WU,2002
N1B,N1B,120.683,298.214,2002-03-28,PP,2002
N1A,N1A,33.83,83.596,2002-03-28,PP,2002
AL,AL,39.454,97.49,2002-03-27,PP,2002
K1A,K1A,113.89,281.428,2002-03-26,PP,2002
WA,WA,11.62,28.72,2002-02-13,PP,2002
WB,WB,12.33,30.46,2002-02-13,PP,2002
SuB,SuB,15.63,38.62,2003-07-24,PP,2003
SuA,10C/3U3BC,22.86,56.49,2003-07-24,PP,2003
R1A,20A/3B3UA,48.66,120.241,2003-05-12,PP,2003
K1A,K1A,113.89,281.428,2003-05-07,PP,2003
HQC,HQC,17.483,43.201,2003-05-07,PP,2003
SpB,4D/WB,35.74,88.31,2003-05-05,PP,2003
R1B,20D,36.42,89.996,2003-04-29,PP,2003
2C,2C,22.95,56.72,2003-04-29,PP,2003
"White Pasture","White Pasture",166.82,412.22,2003-04-28,PP,2003
C1A,C4D,93.78,231.73,2003-04-22,PP,2003
C3C,C1B,21.55,53.251,2003-04-22,PP,2003
C3C,C1C,81.291,200.874,2003-04-22,PP,2003
C3B,C1B,63.817,157.695,2003-04-22,PP,2003
C3B,C4A,2.902,7.17,2003-04-22,PP,2003
C3SB,SB,226.265,559.112,2003-04-22,PP,2003
C3SC,SC,127.02,313.873,2003-04-22,PP,2003
C3A,C4A,48.728,120.41,2003-04-22,PP,2003
C3SA,SA,102.076,252.235,2003-04-22,PP,2003
N1A,N1A,33.83,83.596,2003-04-21,PP,2003
"HQ Restoration Plots","Restoration Plots",2.424,5.991,2003-04-21,PP,2003
"Belowground Plots","Belowground Plots",1.45,3.58,2003-04-21,PP,2003
N1A,N1A,60.03,148.322,2003-04-19,PP,2003
HQB,HQB,14.92,36.868,2003-04-17,PP,2003
HQA,HQA,12.28,30.344,2003-04-17,PP,2003
SpA,4C,8.818,21.79,2003-04-12,PP,2003
C1SB,"Texas Hog Pasture",69.81,172.51,2003-04-12,PP,2003
1B,1B/WA,35.89,88.69,2003-04-11,PP,2003
4B,4B,54.5,134.67,2003-04-11,PP,2003
1D,1D,41.55,102.67,2003-04-10,PP,2003
2D,2D,48.41,119.62,2003-04-10,PP,2003
N1B,N1B,120.683,298.214,2003-04-09,PP,2003
N2B,N2B,118.781,293.514,2003-04-09,PP,2003
AL,AL,25.387,62.73,2003-03-31,PP,2003
HQB,HQB,14.92,36.868,2003-03-31,PP,2003
K1B,K1B,105.138,259.801,2003-03-25,PP,2003
WB,WB,12.33,30.46,2003-02-17,PP,2003
WA,WA,11.62,28.72,2003-02-17,PP,2003
FB,FB,11.18,27.626,2004-12-08,PP,2004
1B,1B/WA,35.89,88.69,2004-05-04,PP,2004
2A,2A,27.96,69.1,2004-05-04,PP,2004
2B,2B,6.08,15.02,2004-04-27,PP,2004
R1A,20A/3B3UA,48.66,120.241,2004-04-27,PP,2004
SpA,4C,8.818,21.79,2004-04-27,PP,2004
K1A,K1A,113.89,281.428,2004-04-13,PP,2004
4F,4F,16.37,40.44,2004-04-13,PP,2004
K2A,K2A,66.1,163.336,2004-04-13,PP,2004
K1B,K1B,105.138,259.801,2004-04-13,PP,2004
K1B,K4B,76.118,188.092,2004-04-13,PP,2004
SpB,4D/WB,35.74,88.31,2004-04-13,PP,2004
HQD,HQC,28.25,69.807,2004-04-06,PP,2004
N4A,N4A,99.196,245.118,2004-04-06,PP,2004
N2A,N2A,101.215,250.107,2004-04-06,PP,2004
"White Pasture","White Pasture",166.82,412.22,2004-04-02,PP,2004
C3SA,SA,102.076,252.235,2004-04-01,PP,2004
C3A,C4A,48.728,120.41,2004-04-01,PP,2004
C3SC,SC,127.02,313.873,2004-04-01,PP,2004
C3SB,SB,226.265,559.112,2004-04-01,PP,2004
C3B,C1B,63.817,157.695,2004-04-01,PP,2004
C3B,C4A,2.902,7.17,2004-04-01,PP,2004
C3C,C1B,21.55,53.251,2004-04-01,PP,2004
C3C,C1C,81.291,200.874,2004-04-01,PP,2004
C1A,C4D,93.78,231.73,2004-04-01,PP,2004
2D,2D,48.41,119.62,2004-04-01,WU,2004
1D,1D,41.55,102.67,2004-04-01,PP,2004
R1B,20D,36.42,89.996,2004-04-01,PP,2004
R1B,4H,3.38,8.352,2004-04-01,WU,2004
N1B,N1B,120.683,298.214,2004-03-31,PP,2004
HQC,HQC,17.483,43.201,2004-03-26,PP,2004
"Belowground Plots","Belowground Plots",1.45,3.58,2004-03-26,PP,2004
"Nature Trail","Nature Trail",93.37,230.722,2004-03-18,PP,2004
HQA,HQA,12.28,30.344,2004-03-12,PP,2004
N1A,N1A,60.03,148.322,2004-03-12,PP,2004
N1A,N1A,33.83,83.596,2004-03-09,PP,2004
FA,FA,11.089,27.401,2004-02-26,PP,2004
FB,FB,11.181,27.629,2004-02-26,PP,2004
WA,WA,11.62,28.72,2004-02-26,PP,2004
WB,WB,12.33,30.46,2004-02-26,PP,2004
FB,FB,11.181,27.629,2005-11-22,PP,2005
FA,FA,11.09,27.404,2005-11-22,PP,2005
SuB,SuB,15.63,38.62,2005-07-29,PP,2005
SuA,10C/3U3BC,22.86,56.49,2005-07-29,PP,2005
R1B,4H,3.377,8.345,2005-04-20,PP,2005
R1B,20D,36.42,89.996,2005-04-20,PP,2005
R1A,20A/3B3UA,48.66,120.241,2005-04-20,PP,2005
1D,1D,41.55,102.67,2005-04-20,PP,2005
2D,2D,48.41,119.62,2005-04-20,PP,2005
"Nature Trail","Nature Trail",41.22,101.857,2005-04-16,WU,2005
C1A,"Pasture 8",5.1,12.6,2005-04-16,PP,2005
C1SB,"Texas Hog Pasture",69.81,172.51,2005-04-16,PP,2005
SpB,4D/WB,35.74,88.31,2005-04-15,PP,2005
SpA,4C,8.818,21.79,2005-04-15,PP,2005
1B,1B/WA,35.89,88.69,2005-04-15,PP,2005
4B,4B,54.5,134.67,2005-04-15,PP,2005
N1A,N1A,33.83,83.596,2005-04-14,PP,2005
K4A,K4A,53.161,131.363,2005-04-14,PP,2005
N4B,N4B,56.775,140.293,2005-04-14,PP,2005
2C,2C,22.95,56.72,2005-04-14,PP,2005
K1B,K1B,105.138,259.801,2005-04-13,PP,2005
N1A,N1A,60.03,148.322,2005-04-08,PP,2005
N1B,N1B,120.683,298.214,2005-04-08,PP,2005
N4D,N4D,135.45,334.704,2005-04-08,PP,2005
N2B,N2B,118.781,293.514,2005-04-08,PP,2005
K1A,K1A,113.89,281.428,2005-03-31,PP,2005
C3C,C1B,21.55,53.251,2005-03-23,PP,2005
C3C,C1C,81.291,200.874,2005-03-23,PP,2005
C3B,C1B,63.69,157.381,2005-03-23,PP,2005
"Belowground Plots","Belowground Plots",1.45,3.58,2005-03-17,PP,2005
HQC,HQC,17.483,43.201,2005-03-16,PP,2005
HQB,HQB,14.919,36.866,2005-03-15,PP,2005
HQA,HQA,12.28,30.344,2005-03-15,PP,2005
WB,WB,12.33,30.46,2005-02-04,PP,2005
WA,WA,11.62,28.72,2005-02-04,PP,2005
FA,FA,11.09,27.404,2006-11-20,PP,2006
FB,FB,11.18,27.626,2006-11-20,PP,2006
1B,1B/WA,35.89,88.69,2006-05-08,PP,2006
2A,2A,27.96,69.1,2006-05-08,PP,2006
N1A,N1A,33.83,83.596,2006-05-05,PP,2006
4A,4A,18.84,46.56,2006-04-27,PP,2006
1D,"1D ",41.55,102.67,2006-04-27,PP,2006
2B,10B,8.21,20.29,2006-04-27,PP,2006
2B,2B,6.08,15.02,2006-04-27,PP,2006
R1A,20A/3B3UA,48.66,120.241,2006-04-27,PP,2006
N1A,N1A,60.03,148.322,2006-04-27,PP,2006
SpA,4C,8.82,21.795,2006-04-27,PP,2006
SpB,4D/WB,35.74,88.31,2006-04-27,PP,2006
K2A,K2A,66.1,163.336,2006-04-21,PP,2006
HQD,HQD,28.25,69.807,2006-04-20,PP,2006
N4C,N4C,77.842,192.351,2006-04-20,PP,2006
